IMP | 1-Arm Half-Kneeling Lat Pulldown | Pulldown lat à demi-genoux 1 bras
IMP | Seated Dumbbell Curls | Boucles d'haltères assises
IMP | Seated Dumbbell Side Lateral | Latéral côté haltère assis
IMP | seated figure four | figure assise quatre
IMP | Seated Hip Abduction | Abduction assis de la hanche
IMP | Seated Hip Adduction | Adduction de la hanche assise
IMP | Seated Knee Tuck | Repli du genou assis
IMP | Seated Knee Tuck | Repli du genou assis
IMP | Seated machine row | Rangée de machines assises
IMP | Seated Pancake Good Morning | Crêpe assise Bonjour
IMP | Seated rear delt rise | Élévation du delt arrière assis
IMP | Seated Row (Machine) | Rangée assise (machine)
IMP | Seated Shoulder Extension Stretch | Étirement de l'extension de l'épaule assise
IMP | Seated Triceps Press | Presse triceps assise
IMP | Seated Triceps Press | Presse triceps assise
IMP | Seated W Curl | Curl incliné avec haltères
IMP | Shinbox IR Stretch | Shinbox IR Stretch
IMP | Shotgun Row | Rangée de fusils de chasse
IMP | Shoulder Dumbbell Pendular Exercise | Exercice pendulaire avec haltères à l'épaule
IMP | Shoulder External Rotation (Cable) | Rotation externe de l'épaule (câble)
IMP | Shoulder External Rotation with Dumbbell | Rotation externe de l'épaule avec haltère
IMP | Shoulder Internal Rotation (Cable) | Rotation interne de l'épaule (câble)
IMP | Shoulder Press (Dumbbell) | Appuyer sur l'épaule (haltère)
IMP | Shoulder Press, Barbell | Presse d'épaule, Barbell
IMP | Shoulder Press, Dumbbells | Presse d'épaule, haltères
IMP | Shoulder Press, on Machine | Appuyer sur l'épaule, sur la machine
IMP | Shoulder Press, on Multi Press | Appuyer sur l'épaule, sur la presse multiple
IMP | Shoulder Raise Side and Front DB | Élévation de l'épaule côté et DB avant
IMP | Shoulder Shrug | Haussement d'épaules
IMP | Shrugs on Multipress | Shrugs sur Multipress
IMP | Shrugs, Barbells | Haussements d'épaules, haltères
IMP | Shrugs, Dumbbells | Haussements d'épaules, haltères
IMP | Side Bends on Machine | Coudes latérales sur la machine
IMP | Side Crunch | Exercice latéral :
IMP | Side Dumbbell Trunk Flexion | Flexion latérale du tronc de l'haltère
IMP | Side lateral raise - Back (Cable) | Élévation latérale latérale - Arrière (câble)
IMP | Side lateral raise - Front (Cable) | Élévation latérale latérale - Avant (câble)
IMP | Side Lateral Raise (Cable) | Élévation latérale latérale (câble)
IMP | Side Plank | La Planche sur le côté:
IMP | Side Plank | Planche latérale gauche
IMP | Side Slides + Squats | Glissières latérales + Squats
IMP | Side Straight-Arm Pulldown (Cable) | Pulldown latéral à bras droit (câble)
IMP | Side to Side Push Ups | Poussées d'un côté à l'autre
IMP | Side-laying interior rotation | Rotation intérieure latérale
IMP | Single Arm Plank to Row | Planche à bras unique vers la rangée
IMP | Single arm row | Rangée de bras unique
IMP | Single Leg Extension | Extension d'une jambe
IMP | Single Leg Glute Bridge | Pont fessier à une jambe
IMP | Single Leg Hamstring Stretch | Étirement des ischio-jambiers d'une jambe
IMP | Single Leg RDL | RDL à une jambe
IMP | Single Leg RDL | RDL à une jambe
IMP | Single-arm Preacher Curl | Boucle de prédicateur à un bras
IMP | Single-Leg Deadlift with Dumbbell | Deadlift à une jambe avec haltère
IMP | Single-Leg Lunge with Kettlebell: | Fente à une jambe avec Kettlebell :
IMP | Single-leg side glute press | Presse fessière latérale à une jambe
IMP | Sit & Reach | Sit & Reach
IMP | Sit Up Elbow Thrust | Poussée du coude assis
IMP | Sit-ups | Redressements assis
IMP | Sitting Calf Raises | Élévations des mollets assis
IMP | Sitting Calf Raises | Élévations des mollets assis
IMP | Sitting Calf Stretch (Dorsiflexion) | Étirement du mollet assis (Dorsiflexion)
IMP | Ski Machine | Machine à ski
IMP | Skipping - Standard | Sauter - Standard
IMP | Skullcrusher Dumbbells | Haltères Skullcrusher
IMP | Skullcrusher SZ-bar | Crâne concasseur SZ-bar
IMP | Sled Push | Poussée de traîneau
IMP | Sleeper Stretch | Étirement du dormeur
IMP | Sliding Lateral Lunge | Fente latérale coulissante
IMP | Smith Machine Close-grip Bench Press | Presse d'établi Smith Machine à prise serrée
IMP | SMITH MACHINE SLIGHT INCLINE PRESS | PRESSE À LÉGÈRE INCLINAISON POUR MACHINE SMITH
IMP | Smith Machine Split Squat | Smith Machine Split Squat
IMP | Smith Machine Split Squat | Smith Machine Split Squat
IMP | Smith machine squat | Squat sumo à la Smith machine
IMP | Smith Press | Smith Press
IMP | Snach | Snach
IMP | Snap Down | Snap Down
IMP | Snatch OL | Snatch OL
IMP | Sphinx | Sphinx
IMP | Spider Curl | Spider Curl
IMP | Splinter Sit-ups | Sit-ups Splinter
IMP | Squat Jumps | Sauts en squat
IMP | Squat Thrust | Poussées de squat
IMP | Squats | Accroupi
IMP | Squats on Multipress | Squats sur Multipress
IMP | Stair Master | Maître d'escalier
IMP | Stair Master | Maître d'escalier
IMP | Standing Bicep Curl | Boucle du biceps debout
IMP | Standing biceps stretch left | Étirement des biceps debout vers la gauche
IMP | Standing biceps stretch right | Les biceps debout s'étirent à droite
SYS | Standing Calf Raises | Élévation mollet machine
IMP | Standing Calf Stretch | Étirement du mollet debout
IMP | Standing Pancake | Crêpe debout
IMP | Standing Pancake Good Morning | Crêpe debout Bonjour
IMP | Standing Side Crunches | Crevasses latérales debout
IMP | Standing Soleus Stretch | Étirement du soléaire debout
IMP | Stiff-legged Deadlifts | Deadlifts aux jambes raides
IMP | Straddle L-Sit | Straddle L-Sit
IMP | Straight Bar Cable Curls | Boucles de câble droites
IMP | Straight Bar Cable Front Raise | Élévation avant de câble de barre droite
IMP | Straight-arm Pull Down (bar Attachment) | Tirer le bras droit vers le bas (fixation de la barre)
IMP | Straight-arm Pull Down (rope Attachment) | Tirer le bras droit vers le bas (attache de corde)
IMP | Straight-Arm Pulldown (Cable) | Pulldown à bras droit (câble)
IMP | Sumo Deadlift | Soulèvement de Sumo
IMP | Sumo Squats | Squats sumo
IMP | Superman | Surhomme
IMP | Supine Hip Abduction | Abduction de la hanche supérieure
IMP | Supine press | Presse en décubitus
IMP | Suspended crossess | Crossess suspendu
IMP | T-Bar row | Rangée de barre en T
IMP | Talons fesses | Talons fesses
IMP | Thruster | Propulseur
IMP | Toe Taps | Test de tapotement
IMP | Toe Touch | Toucher les orteils
IMP | Torso rotation strech | Stretch de rotation du torse
IMP | TORSO TWIST | TORSION DU TORSE
IMP | Towel Superman | Serviette Superman
IMP | Trap Bar Squat | Squat de la barre de piégeage
IMP | Trap press | Presse-piège
IMP | Trap-3 Raise | Élévation du piège-3
IMP | Trazioni impugnatura inversa | Trazioni impugnatura inversa
IMP | Tricep Dumbbell Kickback | Extension des avant-bras avec haltère
IMP | Tricep Pushdown on Cable | Pousser le triceps vers le bas sur le câble
SYS | Tricep Rope Pushdowns | Extension triceps corde
IMP | Triceps Dips (Assisted) | Trempettes triceps (assistées)
IMP | Triceps Extensions on Cable | Extensions de triceps sur le câble
IMP | Triceps Extensions on Cable With Bar | Extensions de triceps sur câble avec barre
IMP | Triceps on Machine | Triceps sur machine
IMP | Triceps Overhead (Dumbbell) | Triceps au-dessus de la tête (haltères)
IMP | Triceps Pushdown | Poussée du triceps
IMP | Triceps stretch left | Étirement des triceps
IMP | Triceps stretch right | Les triceps s'étirent à droite
IMP | Trunk Rotation With Cable | Rotation du tronc avec câble
IMP | TRX dips | Trempettes TRX
IMP | TRX gorilla biceps curl | Boucle biceps gorille TRX
IMP | TRX hammer curl | Flexion marteau
IMP | TRX Obliques | TRX Obliques
IMP | TRX roll out | Déploiement TRX
IMP | TRX Rows | Lignes TRX
IMP | Trx Single Arm Bicep Curl | Boucle de biceps à bras unique Trx
IMP | TRX Tricep Extension | Extension de triceps TRX
IMP | Tuck L-sit | Tuck L-sit
IMP | Tuck planche | Tuck planche
IMP | Turkish Get-Up | Récupération turque
IMP | Typewriter Pull-ups | Glissières pour machine à écrire
IMP | Underhand Lat Pull Down | Sous-main Lat Pull Down
IMP | Unilateral Cable row | Rangée de câbles unilatérale
IMP | Unilateral Cable row | Rangée de câbles unilatérale
IMP | unilateral cross body cable pull down | câble transversal unilatéral tirant vers le bas
IMP | Unilateral Hip Thrust | Poussée unilatérale de la hanche
IMP | Unilateral Lunges | Fentes unilatérales
IMP | Upper Back | Upper Back
IMP | Upper External Oblique | Oblique externe supérieur
IMP | Upright Row w/ Dumbbells | Rangée verticale avec haltères
IMP | Upright Row, on Multi Press | Rangée droite, sur presse multiple
IMP | Upright Row, SZ-bar | Rangée verticale, barre SZ
IMP | V-BAR PULL DOWNS | V-BAR PULL DOWNS
IMP | Vpushup | Vpushup
IMP | W-Raise | W-Raise
IMP | Walking | Marche à pied
IMP | walking bridge | pont piétonnier
IMP | Walking Lunges | Jambes : marche fentes
IMP | Wall Angels | Anges muraux
IMP | Wall balls | Boules murales
IMP | Wall Drills | Perceuses murales
IMP | Wall Pushup | Poussée murale
IMP | Wall Slides | Glissières murales
IMP | Wall Squat | Assis dos au mur
IMP | Wall-sit | L'assise
IMP | Weighted Crunch | Crunch lesté
IMP | Weighted push-ups | Pompes pondérées
IMP | Wide Grip Pull Up | Barre de traction à grande ouverture
IMP | Wide Pull Up | Wide Pull Up
IMP | Wide-grip Pulldown | Tirage vertical à prise large
IMP | Windshield Wipers | Essuie-glaces
IMP | Yoga exercise: Cow-cat | Exercice de yoga : Cow-cat
IMP | YTWL Exercise | Exercice YTWL
IMP | Zottman curl | Boucle Zottman
IMP | Коробочный присед | Коробочный присед

Total: 690
